x,y
9874.0,46.0
9907.0,46.0
10031.0,47.0
10110.0,46.0
10301.0,47.0
10432.0,47.0
10549.0,49.0
10640.0,47.0
10898.0,50.0
11298.0,51.0
11407.0,55.0
11597.0,58.0
11731.0,59.0
11989.0,55.0
12177.0,57.0
12657.0,65.0
13075.0,66.0
13115.0,65.0
13696.0,72.0
13844.0,72.0
14101.0,53.0
13285.0,48.0
12831.0,50.0
12637.0,50.0
12255.0,46.0
12172.0,45.0
11910.0,43.0
11689.0,46.0
11558.0,44.0
11336.0,40.0
11192.0,43.0
10952.0,42.0
10775.0,39.0
10495.0,40.0
10376.0,39.0
10209.0,40.0
10015.0,39.0
9806.0,42.0
9640.0,41.0
9323.0,35.0
9058.0,37.0
8529.0,39.0
8532.0,40.0
8677.0,44.0
9229.0,43.0
9295.0,43.0
9314.0,43.0
9547.0,45.0
9719.0,48.0
9874.0,46.0
